subject_id,timestamp,action,response,reward,outcome,trial,context
S005,2024-01-06T08:00:00,cue_evening,routine,1.0,0.637,5,habit_strength=0.57;day=5
S005,2024-01-07T08:00:00,cue_morning,skip,0.0,0.649,6,habit_strength=0.54;day=6
S005,2024-01-08T08:00:00,cue_evening,routine,1.0,0.641,7,habit_strength=0.62;day=7
S006,2024-01-01T08:00:00,cue_morning,routine,1.0,0.492,0,habit_strength=0.28;day=0
S006,2024-01-02T08:00:00,cue_evening,routine,1.0,0.555,1,habit_strength=0.36;day=1
S006,2024-01-03T08:00:00,cue_morning,routine,1.0,0.607,2,habit_strength=0.44;day=2
S006,2024-01-04T08:00:00,cue_evening,routine,1.0,0.599,3,habit_strength=0.52;day=3
S006,2024-01-05T08:00:00,cue_morning,skip,0.0,0.619,4,habit_strength=0.49;day=4
S006,2024-01-06T08:00:00,cue_evening,routine,1.0,0.651,5,habit_strength=0.57;day=5
S006,2024-01-07T08:00:00,cue_morning,routine,1.0,0.659,6,habit_strength=0.65;day=6
S006,2024-01-08T08:00:00,cue_evening,routine,0.0,0.764,7,habit_strength=0.73;day=7
S007,2024-01-01T08:00:00,cue_morning,routine,1.0,0.468,0,habit_strength=0.28;day=0
S007,2024-01-02T08:00:00,cue_evening,routine,1.0,0.467,1,habit_strength=0.36;day=1
S007,2024-01-03T08:00:00,cue_morning,routine,0.0,0.597,2,habit_strength=0.44;day=2
S007,2024-01-04T08:00:00,cue_evening,routine,0.0,0.583,3,habit_strength=0.52;day=3
S007,2024-01-05T08:00:00,cue_morning,routine,1.0,0.68,4,habit_strength=0.6;day=4
S007,2024-01-06T08:00:00,cue_evening,routine,1.0,0.749,5,habit_strength=0.68;day=5
S007,2024-01-07T08:00:00,cue_morning,routine,0.0,0.716,6,habit_strength=0.76;day=6
S007,2024-01-08T08:00:00,cue_evening,routine,0.0,0.757,7,habit_strength=0.84;day=7
S008,2024-01-01T08:00:00,cue_morning,skip,0.0,0.428,0,habit_strength=0.17;day=0
S008,2024-01-02T08:00:00,cue_evening,routine,1.0,0.485,1,habit_strength=0.25;day=1
S008,2024-01-03T08:00:00,cue_morning,skip,0.0,0.425,2,habit_strength=0.22;day=2
S008,2024-01-04T08:00:00,cue_evening,routine,1.0,0.449,3,habit_strength=0.3;day=3
S008,2024-01-05T08:00:00,cue_morning,routine,1.0,0.513,4,habit_strength=0.38;day=4
S008,2024-01-06T08:00:00,cue_evening,routine,0.0,0.624,5,habit_strength=0.46;day=5
S008,2024-01-07T08:00:00,cue_morning,routine,1.0,0.649,6,habit_strength=0.54;day=6
S008,2024-01-08T08:00:00,cue_evening,routine,0.0,0.705,7,habit_strength=0.62;day=7
S009,2024-01-01T08:00:00,cue_morning,routine,0.0,0.446,0,habit_strength=0.28;day=0
S009,2024-01-02T08:00:00,cue_evening,routine,1.0,0.52,1,habit_strength=0.36;day=1
S009,2024-01-03T08:00:00,cue_morning,routine,1.0,0.542,2,habit_strength=0.44;day=2
S009,2024-01-04T08:00:00,cue_evening,routine,1.0,0.63,3,habit_strength=0.52;day=3
S009,2024-01-05T08:00:00,cue_morning,routine,1.0,0.647,4,habit_strength=0.6;day=4
S009,2024-01-06T08:00:00,cue_evening,routine,0.0,0.737,5,habit_strength=0.68;day=5
S009,2024-01-07T08:00:00,cue_morning,routine,1.0,0.75,6,habit_strength=0.76;day=6
S009,2024-01-08T08:00:00,cue_evening,routine,1.0,0.806,7,habit_strength=0.84;day=7
S010,2024-01-01T08:00:00,cue_morning,skip,0.0,0.367,0,habit_strength=0.17;day=0
S010,2024-01-02T08:00:00,cue_evening,skip,0.0,0.35,1,habit_strength=0.14;day=1
S010,2024-01-03T08:00:00,cue_morning,skip,0.0,0.348,2,habit_strength=0.11;day=2
S010,2024-01-04T08:00:00,cue_evening,skip,0.0,0.386,3,habit_strength=0.08;day=3
S010,2024-01-05T08:00:00,cue_morning,skip,0.0,0.321,4,habit_strength=0.05;day=4
S010,2024-01-06T08:00:00,cue_evening,skip,0.0,0.279,5,habit_strength=0.02;day=5
S010,2024-01-07T08:00:00,cue_morning,skip,0.0,0.328,6,habit_strength=0.0;day=6
S010,2024-01-08T08:00:00,cue_evening,skip,0.0,0.282,7,habit_strength=0.0;day=7
S011,2024-01-01T08:00:00,cue_morning,skip,0.0,0.427,0,habit_strength=0.17;day=0
S011,2024-01-02T08:00:00,cue_evening,skip,0.0,0.363,1,habit_strength=0.14;day=1
S011,2024-01-03T08:00:00,cue_morning,routine,1.0,0.401,2,habit_strength=0.22;day=2
S011,2024-01-04T08:00:00,cue_evening,routine,1.0,0.479,3,habit_strength=0.3;day=3
S011,2024-01-05T08:00:00,cue_morning,routine,0.0,0.516,4,habit_strength=0.38;day=4
S011,2024-01-06T08:00:00,cue_evening,routine,0.0,0.533,5,habit_strength=0.46;day=5
S011,2024-01-07T08:00:00,cue_morning,routine,0.0,0.606,6,habit_strength=0.54;day=6
S011,2024-01-08T08:00:00,cue_evening,skip,0.0,0.63,7,habit_strength=0.51;day=7
